Publication Meta Data Fields,,,,,,,,
DARPA Program Name,Program Teams,Authors,Link,Title,Categories,Subcategories,ACM 1998 classification code,AMS 2010 classification code
GRAPHS,University of Washington,"Emily Fox, David Dunson",http://arxiv.org/pdf/1101.2017v2.pdf,Bayesian nonparametric covariance regression,Machine Learning,,"H.2.8, G.3","68R10, 62M20, 62F18"
GRAPHS,University of Washington,"Emily B. Fox, Mike West",http://arxiv.org/pdf/1107.5239v1.pdf,Autoregressive models for variance matrices: Stationary inverse Wishart processes,Machine Learning,,"H.2.8, G.3","68R10, 62M20, 62F19"
GRAPHS,University of Washington,"Emily B. Fox, Michael C. Hughes, Erik B. Sudderth, Michael I. Jordan",http://arxiv.org/pdf/1308.4747v2.pdf,Joint modeling of multiple time series via the beta process with application to motion capture segmentation,Machine Learning,,"H.2.8, G.3","68R10, 62M20, 62F20"
GRAPHS,University of Washington,"Drausin F. Wulsin, Emily B. Fox, Brian Litt",https://www.stat.washington.edu/~ebfox/publications/icml2013.pdf,Parsing epileptic events using a Markov switching process model for correlated time series,Machine Learning,,"H.2.8, G.3","68R10, 62M20, 62F21"
GRAPHS,University of Washington,"Drausin F. Wulsin, Emily B. Fox, Brian Litt",http://arxiv.org/pdf/1402.6951v2.pdf,Modeling the complex dynamics and changing correlations of epileptic events,Machine Learning,,"H.2.8, G.3","68R10, 62M20, 62F22"
GRAPHS,University of Washington,"Khalid El-Arini, Min Xu, Emily B. Fox",https://www.stat.washington.edu/~ebfox/publications/badgepaper-kdd2013.pdf,Representing Documents Through Their Readers,Machine Learning,,"H.2.8, G.3","68R10, 62M20, 62F23"
GRAPHS,University of Washington,"Tauhid Zaman, Emily B. Fox, Eric T. Bradlow",http://arxiv.org/pdf/1304.6777.pdf,A Bayesian Approach for Predicting the Popularity of Tweets,Machine Learning,,"H.2.8, G.3","68R10, 62M20, 62F24"
GRAPHS,University of Washington,"Tianqi Chen, Emily B. Fox, Carlos Guestrin",http://arxiv.org/pdf/1402.4102v2.pdf,Stochastic Gradient Hamiltonian Monte Carlo,Machine Learning,,"H.2.8, G.3","68R10, 62M20, 62F25"
GRAPHS,University of Washington,"Francois Caron, Emily B. Fox",http://arxiv.org/pdf/1401.1137v2.pdf,Bayesian nonparametric models of sparse and exchangeable random graphs,Machine Learning,,"H.2.8, G.3","68R10, 62M20, 62F26"
GRAPHS,MEGA Stanford University,"Robert West, Hristo S. Paskov, Jure Leskovec, Christopher Potts ",http://cs.stanford.edu/people/jure/pubs/sentiment-tacl14.pdf,Exploiting Social Network Structure for Person-to-Person Sentiment Analysis,Information Systems,Data Mining,H.2.8,
GRAPHS,MEGA Stanford University,"Manuel G. Rodriguez, Jure Leskovec, David Balduzzi, Bernhard Schoelkopf",http://cs.stanford.edu/people/jure/pubs/netrate-netsci14.pdf,Uncovering the Structure and Temporal Dynamics of Information Propagation,Information Systems,Data Mining,H.2.8,
GRAPHS,MEGA Stanford University,"Julian McAuley, Jure Leskovec",http://cs.stanford.edu/people/jure/pubs/circles-tkdd14.pdf,Discovering Social Circles in Ego Networks,Information Systems,"Data Mining, Clustering","H.2.8, H.3.3",
GRAPHS,MEGA Stanford University,"Jaewon Yang, Julian McAuley, Jure Leskovec",http://cs.stanford.edu/people/jure/pubs/coda-wsdm14.pdf,Detecting Cohesive and 2-mode Communities in Directed and Undirected Networks,Information Systems,Data Mining,H.2.8,
GRAPHS,MEGA Stanford University,"Jaewon Yang, Julian McAuley, Jure Leskovec",http://cs.stanford.edu/people/jure/pubs/cesna-icdm13.pdf,Community Detection in Networks with Node Attributes,Information Systems,Data Mining,H.2.8,
GRAPHS,MEGA Stanford University,"Dafna Shahaf, Jaewon Yang, Caroline Suen, Jeff Jacobs, Heidi Wang, Jure Leskovec",http://cs.stanford.edu/people/jure/pubs/metro-kdd13.pdf,"Information Cartography: Creating Zoomable, Large-Scale Maps of Information",Information Systems,Information Retrieval,"H.3.1, H.3.3, H.5",
GRAPHS,MEGA Stanford University,"Jaewon Yang, Jure Leskovec",http://cs.stanford.edu/people/jure/pubs/bigclam-wsdm13.pdf,Overlapping Community Detection at Scale: A Nonnegative Matrix Factorization Approach,Information Systems,Data Mining,H.2.8,
GRAPHS,MEGA Stanford University,"Jaewon Yang, Jure Leskovec",http://cs.stanford.edu/people/jure/pubs/agmfit-icdm12.pdf,Community-Affiliation Graph Model for Overlapping Community Detection,Information Systems,Data Mining,H.2.8,
GRAPHS,MEGA Stanford University,"Jaewon Yang, Jure Leskovec",http://cs.stanford.edu/people/jure/pubs/comscore-icdm12.pdf,Defining and Evaluating Network Communities based on Ground-truth,Information Systems,Data Mining,H.2.8,
GRAPHS,MEGA Stanford University,"Julian McAuley, Jure Leskovec",http://cs.stanford.edu/people/jure/pubs/circles-nips12.pdf,Learning to Discover Social Circles in Ego Networks,Information Systems,Data Mining,H.2.8,
XDATA and GRAPHS,"Stanford University, Sandia National Labs","Peter Lofgren, Siddhartha Banerjee, Ashish Goel, C. Seshadri",http://arxiv.org/abs/1404.3181,FAST-PPR: Scaling Personalized PageRank Estimation for Large Graphs,"Nonnumerical Algorithms and Problem, Graph Theory","Graph Algorithms, Computations on Discrete Structures","F.2.2, G.2.2","05C85, 68W05"
GRAPHS,Stanford Graphs Team,"Abhijit Banerjee, Arun Chandrasekhar, Esther Duflo, Matthew O. Jackson,",http://ssrn.com/abstract=2425379,Gossip: Identify Central Individuals in a Social Network,Social Networks,,"J4, G3",
GRAPHS,Stanford Graphs Team,Matthew O. Jackson and Stephen Nei,http://ssrn.com/abstract=2389300,"Networks of Military Alliances, Wars, and International Trade",Social Networks,,"J4, G3",
GRAPHS,Stanford Graphs Team,Matthew O. Jackson,http://ssrn.com/abstract=2404632,Networks in the Understanding of Economic Behaviors,Social Networks,,"J4, G3",
GRAPHS,Stanford Graphs Team,Matthew O. Jackson and Yiqing Xing,http://web.stanford.edu/~jacksonm/Jackson-Xing-CultureAndCoordination-PNAS-2014.pdf,Culture-dependent strategies in coordination games,Social Networks,,"J4, G3",
GRAPHS,Stanford Graphs Team,"Matthew L. Elliott, Benjamin Golub, Matthew O. Jackson",http://ssrn.com/abstract=2175056,Financial Networks and Contagion,Social Networks,,"J4, G3",
GRAPHS,Stanford Graphs Team,Arun Chandrasekhar and Matthew O. Jackson,http://ssrn.com/abstract=2150428,Tractable and Consistent Exponential Random Graph Models,Social Networks,,"J4, G3",
GRAPHS,Stanford Graphs Team,Matthew O. Jackson and Yves Zenou,http://papers.ssrn.com/abstract=2136179,Games on Networks,Social Networks,,"J4, G3",
GRAPHS,MEGA,Matt Leduc,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2425490,A Dynamic Network Game for the Adoption of New Technologies,Social and Behavioral Sciences,Economics,J.4,
XDATA + GRAPHS,"Stanford University, Duke University","Bahman Bahmani, Ashish Goel, Kamesh Munagala",http://web.stanford.edu/~ashishg/papers/distribute/densest-AHK.pdf,Efficient Primal-Dual Algorithms for MapReduce,Graph algorithms,,,
XDATA + GRAPHS,Stanford University,"Peter Lofgren, Ashish Goel",http://arxiv.org/abs/1304.4658,Personalized PageRank to a Target Node,Graph algorithms,,,
GRAPHS,ICME Stanford University,"Reza Bosagh Zadeh, Ashish Goel",http://dl.acm.org/citation.cfm?id=2567715,Dimension independent similarity computation,Social Networks,,,
GRAPHS,Stanford University,"Siddhartha Banerjee, Ashish Goel, Anilesh Kollagunta Krishnaswamy",http://dl.acm.org/citation.cfm?id=2602888,Re-incentivizing discovery: mechanisms for partial-progress sharing in research,Social Networks,,,
GRAPHS,MIT,"Michael Kapralov, Yin Tat Lee, Cameron Musco, Christopher Musco, Aaron Sidford",http://arxiv.org/abs/1407.1289,Single Pass Spectral Sparsification in Dynamic Streams,Graph algorithms,,,
GRAPHS,"MIT, IBM Almaden","Michael Kapralov, David P. Woodruff",http://researcher.watson.ibm.com/researcher/files/us-dpwoodru/kw.pdf,Spanners and Sparsifiers in Dynamic Streams,streaming,,,
GRAPHS,"Stanford University, Microsoft Research Silicon Valley","Michael Kapralov, Kunal Talwar","http://dl.acm.org/citation.cfm?id=2627918 ,  http://knowledgecenter.siam.org/0236-000053/1",On differentially private low rank approximation,Social Networks,,,
GRAPHS,Stanford University,Michael Kapralov,http://dl.acm.org/citation.cfm?id=2627938,Better bounds for matchings in the streaming model,Graph algorithms,,,
GRAPHS,MIT,"Piotr Indyk, Michael Kapralov, Eric Price","http://dl.acm.org/citation.cfm?id=2634110 ,  http://epubs.siam.org/doi/pdf/10.1137/1.9781611973402.36",(Nearly) sample-optimal sparse Fourier transform,Algorothms for sparse data,,,
GRAPHS,"MIT, University of Pennsylvania, Microsoft Research New England","Michael Kapralov, Sanjeev Khanna, Madhu Sudan","http://arxiv.org/abs/1409.2138 ,  http://epubs.siam.org/doi/pdf/10.1137/1.9781611973402.55",Streaming Lower Bounds for Approximating MAX-CUT / Approximating matching size from random streams,Streaming algorithms,,,
GRAPHS,Stanford University,"Shayan Oveis Gharan, Luca Trevisan",http://arxiv.org/abs/1304.2060,Improved ARV Rounding in Small-set Expanders and Graphs of Bounded Threshold Rank,Graph algorithms,,,
