Publication Meta Data Fields,,,,,,,,
DARPA Program Name,Program Teams,Authors,Link,Title,Categories,Subcategories,ACM 1998 classification code,AMS 2010 classification code
MADCAT,,"Z. Shi, S. Setlur, V. Govindaraju",http://dl.acm.org/citation.cfm?doid=2432553.2432565,Model Based Table Cell Detection and Content Extraction from Degraded Document Images,,,,
MADCAT,,"U. Porwal, Y. Zhou, V. Govindaraju",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?reload=true&arnumber=6460132,Handwritten Arabic Text Recognition Using Deep Belief Networks,,,,
MADCAT,,"U. Porwal, A. Shivaram, C. Ramiah, V. Govindaraju",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=6195387,Ensemble of Biased Learners for Offline Arabic Handwriting Recognition,,,,
MADCAT,,"U. Porwal, Z. Shi, S. Setlur",http://www.sciencedirect.com/science/article/pii/B9780444538598000187,Machine Learning in Handwritten Arabic Text Recognition,,,,
MADCAT,,"Peng Ye, D. Doermann",Not Yet Published,Learning Features for Predicting OCR Accuracy,,,,
MADCAT,,"Rajiv Jain, David Doermann",Not Yet Published,Logo Retrieval in Document Images,,,,
MADCAT,,"Le Kang, Jayant Kumar, Peng Ye, David Doermann",Not Yet Published,Learning Text-line Segmentation Using Codebooks and Graph Partitioning,,,,
MADCAT,,"Jayant Kumar, Peng Ye, David Doermann",Not Yet Published,Learning Document Structure for Retrieval and Classification,,,,
MADCAT,,"Zhiyi Song, Safa Ismael, Stephen Grimes, David Doermann, Stephanie Strassel",Not Yet Published,Linguistic Resources for Handwriting Recognition and Translation Evaluation,,,,
MADCAT,,"Qixiang Ye, D. Doermann",http://www.icdar2013.org/,Scene Text Detection via Integrated Discrimination of Component Appearance and Consensus,,,,
MADCAT,,"Jayant Kumar, David Doermann",http://www.icdar2013.org/,Unsupervised Classification of Structurally Similar Document Images,,,,
MADCAT,,"Peng Ye, David Doermann",http://www.icdar2013.org/,Document Image Quality Assessment: A Brief Survey,,,,
MADCAT,,"Peng Ye, D. Doermann",Not Yet Published,Combining Preference and Absolute Judgements in a Crowd-Sourced Setting,,,,
MADCAT,,"Jinyu Zuo, Esin Darici",http://www.cubs.buffalo.edu/MOCR2013,A Robust Table Registration Method for Batch Table OCR Processing,,,,
MADCAT,,"Jinying Chen, Rohit Prasad, Huaigu Cao, Premkumar Natarajan",http://www.icdar2013.org/,Detecting OOV Names in Arabic Handwritten Data,,,,
MADCAT,,"Huaigu Cao, Xujun Peng, Wang Ke, Rohit Prasad, Prem Natarajan",http://www.icdar2013.org/,Table Form Detection and Segmentation Using an Iterative Registration Algorithm,,,,
MADCAT,,"Jinying Chen, Huaigu Cao, Prem Natarajan",http://www.iapr.org/,Integrating Natural Language Processing with Image Document Analysis: What We Learned from Two real World Applications,,,,
MADCAT,,"Arpit Jain, Xujun Peng, Xiaodan Zhuang, Pradeep Natarajan, Huaigu Cao",http://www.icassp2014.org/,Text Detection and Recognition in Natural Scences and Consumer Videos,,,,
MADCAT,,"Jinying Chen, Yue Wu, Huaigu Cao, Prem Natarajan",http://www.icpr2014.org/,Confusion Network-Based Recurrent Neural Network Language Modeling for Chinese OCR Error Detection,,,,
MADCAT,,"Shengxin Zha, Xujun Peng, Huaigu Cao, Prem Natarajan",http://das2014.sciencesconf.org/,Text Classification via iVector Based Feature Representation,,,,
MADCAT,,"Xujun Peng, Huaigu Cao, Prem Natarajan",http://www.icfhr2014.org/,Boost Accuracy Using iVector Based Combination Approach,,,,
MADCAT,,"Nan Li, Jinying Chen, Huaigu Cao, Prem Natarajan",http://www.icfhr2014.org/,Applications of Recurrent Neural Network Language Model in Offline Handwriting Recognition and Word Spotting,,,,
MADCAT,,"Jinying Chen, Huaigu Cao, Xujun peng, Prem Natarajan",http://www.emnlp2013.org/,Sentence Boundary Detection for Arabic Image Documents and its Effects on Machine Translation,,,,
MADCAT,,"Huaigu Cao, Prem Natarajan, Xujun Peng, Krishna Subramanian, David Belanger, Nan Li",http://www.icfhr2014.org/,Progress in the Raytheon BBN Arabic Offline Handwriting Recognition System,,,,
,,,,,,,,
,,,,,,,,
